ID;Block;BlockDuration;MasksN;Target;Event;Time
s03;3;120;1;2;0;14578
s03;3;120;1;2;1;14761
s03;3;120;1;2;0;16514
s03;3;120;1;2;1;18131
s03;3;120;1;2;0;20166
s03;3;120;1;2;1;21017
s03;3;120;1;2;0;26470
s03;3;120;1;2;1;26787
s03;3;120;1;2;0;26937
s03;3;120;1;2;1;27037
s03;3;120;1;2;0;29155
s03;3;120;1;2;1;29723
s03;3;120;1;2;0;30673
s03;3;120;1;2;1;31123
s03;3;120;1;2;0;33376
s03;3;120;1;2;1;34076
s03;3;120;1;2;0;35177
s03;3;120;1;2;1;35711
s03;3;120;1;2;0;37846
s03;3;120;1;2;1;38146
s03;3;120;1;2;0;50037
s03;3;120;1;2;1;50389
s03;3;120;1;2;0;53441
s03;3;120;1;2;1;54174
s03;3;120;1;2;0;56693
s03;3;120;1;2;1;57226
s03;3;120;1;2;0;61796
s03;3;120;1;2;1;62397
s03;3;120;1;2;0;64631
s03;3;120;1;2;1;65415
s03;3;120;1;2;0;66733
s03;3;120;1;2;1;66966
s03;3;120;1;2;0;68151
s03;3;120;1;2;1;68618
s03;3;120;1;2;0;69619
s03;3;120;1;2;1;70069
s03;3;120;1;2;0;71120
s03;3;120;1;2;1;71620
s03;3;120;1;2;0;76073
s03;3;120;1;2;1;76240
s03;3;120;1;2;0;82144
s03;3;120;1;2;1;82411
s03;3;120;1;2;0;83428
s03;3;120;1;2;1;83662
s03;3;120;1;2;0;89534
s03;3;120;1;2;1;89734
s03;3;120;1;2;0;94604
s03;3;120;1;2;1;94804
s03;3;120;1;2;0;97072
s03;3;120;1;2;1;97239
s03;3;120;1;2;0;99607
s03;3;120;1;2;1;99807
s03;3;120;1;2;0;115335
s03;3;120;1;2;1;115502
s03;3;120;1;2;0;117704
s03;3;120;1;2;1;117937
s03;4;120;3;0;0;1659
s03;4;120;3;0;1;13502
s03;4;120;3;2;0;13585
s03;4;120;3;2;1;13702
s03;4;120;3;0;0;14136
s03;4;120;3;2;0;28997
s03;4;120;3;2;1;29180
s03;4;120;3;2;0;33933
s03;4;120;3;2;1;34133
s03;4;120;3;2;0;44157
s03;4;120;3;2;1;44340
s03;4;120;3;0;1;49295
s03;4;120;3;2;0;49511
s03;4;120;3;2;1;49778
s03;4;120;3;0;0;50195
s03;4;120;3;0;1;51546
s03;4;120;3;2;0;51630
s03;4;120;3;2;1;52213
s03;4;120;3;0;0;52413
s03;4;120;3;0;1;55482
s03;4;120;3;2;0;55666
s03;4;120;3;2;1;55999
s03;4;120;3;0;0;56299
s03;4;120;3;2;0;102033
s03;4;120;3;2;1;102233
s03;4;120;3;0;1;102617
s03;4;120;3;0;0;103034
s03;4;120;3;0;1;107070
s03;4;120;3;2;0;107237
s03;4;120;3;2;1;107620
s03;4;120;3;0;0;107970
s03;4;120;3;0;1;110172
s03;4;120;3;0;0;110656
s03;4;120;3;0;1;120000
s04;1;120;1;0;0;749
s04;1;120;1;0;1;120000
s04;2;120;3;0;0;1189
s04;2;120;3;2;0;71607
s04;2;120;3;2;1;71690
s04;2;120;3;0;1;98442
s04;2;120;3;0;0;99143
s04;2;120;3;0;1;102395
s04;2;120;3;0;0;103479
s04;2;120;3;0;1;110685
s04;2;120;3;0;0;111602
s04;2;120;3;0;1;120000
s04;3;120;1;0;0;1702
s04;3;120;1;2;0;26420
s04;3;120;1;0;1;26437
s04;3;120;1;2;1;27571
s04;3;120;1;0;0;27637
