ID;Block;Duration;Aligned;MasksN;Target;Event;Time;SimCount
s02;5;120;0;1;0;1;44216;1
s02;5;120;0;1;1;0;46049;3
s02;5;120;0;1;0;0;46099;3
s02;5;120;0;1;2;0;46116;3
s02;5;120;0;1;1;1;46366;3
s02;5;120;0;1;2;1;46382;3
s02;5;120;0;1;0;1;46415;3
s02;5;120;0;1;0;0;50764;1
s02;5;120;0;1;0;1;50898;1
s02;5;120;0;1;1;0;54063;1
s02;5;120;0;1;0;0;54179;1
s02;5;120;0;1;0;1;54213;1
s02;5;120;0;1;1;1;54396;1
s02;5;120;0;1;1;0;58661;1
s02;5;120;0;1;1;1;58895;1
s02;5;120;0;1;0;0;61694;1
s02;5;120;0;1;0;1;61860;1
s02;5;120;0;1;2;0;63292;3
s02;5;120;0;1;0;0;63309;3
s02;5;120;0;1;1;0;63325;3
s02;5;120;0;1;1;1;63426;3
s02;5;120;0;1;2;1;63443;3
s02;5;120;0;1;0;1;63459;3
s02;5;120;0;1;1;0;65042;1
s02;5;120;0;1;1;1;65258;1
s02;5;120;0;1;0;0;66125;2
s02;5;120;0;1;1;0;66158;2
s02;5;120;0;1;1;1;66325;2
s02;5;120;0;1;0;1;66374;2
s02;5;120;0;1;1;0;69540;1
s02;5;120;0;1;1;1;70007;1
s02;5;120;0;1;1;0;71073;1
s02;5;120;0;1;1;1;71140;1
s02;5;120;0;1;1;0;71339;1
s02;5;120;0;1;1;1;71440;1
s02;5;120;0;1;1;0;75488;2
s02;5;120;0;1;0;0;75522;2
s02;5;120;0;1;0;1;75721;2
s02;5;120;0;1;1;1;75738;2
s02;5;120;0;1;1;0;77870;1
s02;5;120;0;1;1;1;78021;1
s02;5;120;0;1;0;0;83185;1
s02;5;120;0;1;0;1;83269;1
s02;5;120;0;1;0;0;87933;1
s02;5;120;0;1;0;1;88050;1
s02;5;120;0;1;1;0;90299;1
s02;5;120;0;1;0;0;90483;1
s02;5;120;0;1;1;1;90632;2
s02;5;120;0;1;0;1;90649;2
s02;5;120;0;1;0;0;92664;3
s02;5;120;0;1;1;0;92699;3
s02;5;120;0;1;2;0;92715;3
s02;5;120;0;1;2;1;92765;3
s02;5;120;0;1;1;1;92782;3
s02;5;120;0;1;0;1;92815;3
s02;5;120;0;1;1;0;96147;2
s02;5;120;0;1;0;0;96163;2
s02;5;120;0;1;1;1;96364;2
s02;5;120;0;1;0;1;96380;2
s02;5;120;0;1;1;0;99545;1
s02;5;120;0;1;1;1;99696;1
s02;5;120;0;1;2;0;102094;1
s02;5;120;0;1;2;1;102228;1
s02;5;120;0;1;0;0;104293;2
s02;5;120;0;1;1;0;104310;2
