ID;Block;Duration;Aligned;Target;Event;Time
s01;1;120;0;1;0;96525
s01;1;120;0;0;0;96608
s01;1;120;0;0;1;99374
s01;1;120;0;1;1;99391
s01;1;120;0;2;0;101457
s01;1;120;0;2;1;104039
s01;1;120;0;1;0;106271
s01;1;120;0;0;0;106288
s01;1;120;0;2;0;106521
s01;1;120;0;1;1;108771
s01;1;120;0;2;1;108787
s01;1;120;0;0;1;108820
s01;1;120;0;1;0;111553
s01;1;120;0;0;0;111586
s01;1;120;0;2;0;111603
s01;1;120;0;2;1;111619
s01;1;120;0;2;0;111703
s01;1;120;0;2;1;113552
s01;1;120;0;0;1;113587
s01;1;120;0;1;1;113619
s01;1;120;0;1;0;117268
s01;1;120;0;0;0;117284
s01;1;120;0;2;0;117367
s01;1;120;0;2;1;118918
s01;1;120;0;1;1;118934
s01;1;120;0;0;1;118950
s01;2;120;1;2;0;4399
s01;2;120;1;1;0;4416
s01;2;120;1;0;0;4433
s01;2;120;1;2;1;6849
s01;2;120;1;1;1;6865
s01;2;120;1;0;1;6882
s01;2;120;1;1;0;10197
s01;2;120;1;1;1;12730
s01;2;120;1;2;0;16629
s01;2;120;1;2;1;18411
s01;2;120;1;0;0;21027
s01;2;120;1;1;0;21293
s01;2;120;1;2;0;21393
s01;2;120;1;1;1;21443
s01;2;120;1;2;1;23676
s01;2;120;1;0;1;23692
s01;2;120;1;1;0;26891
s01;2;120;1;2;0;26974
s01;2;120;1;0;0;27024
s01;2;120;1;1;1;29707
s01;2;120;1;2;1;29724
s01;2;120;1;0;1;29740
s01;2;120;1;1;0;33705
s01;2;120;1;2;0;33771
s01;2;120;1;0;0;33789
s01;2;120;1;1;1;35621
s01;2;120;1;2;1;35638
s01;2;120;1;0;1;35671
s01;2;120;1;2;0;38070
s01;2;120;1;0;0;38120
s01;2;120;1;1;0;38138
s01;2;120;1;1;1;40236
s01;2;120;1;2;1;40253
s01;2;120;1;0;1;40269
s01;2;120;1;0;0;43785
s01;2;120;1;2;0;43818
s01;2;120;1;0;1;45917
s01;2;120;1;2;1;45934
s01;2;120;1;1;0;48666
s01;2;120;1;2;0;48833
s01;2;120;1;0;0;48849
s01;2;120;1;1;1;50516
s01;2;120;1;2;1;50532
s01;2;120;1;0;1;50565
s01;2;120;1;0;0;54230
s01;2;120;1;1;0;54747
s01;2;120;1;1;1;56163
s01;2;120;1;0;1;56181
s01;2;120;1;2;0;58329
s01;2;120;1;1;0;58362
s01;2;120;1;0;0;58446
s01;2;120;1;1;1;60395
s01;2;120;1;2;1;60429
s01;2;120;1;0;1;60445
s01;2;120;1;2;0;63660
s01;2;120;1;1;0;63678
s01;2;120;1;0;0;63761
s01;2;120;1;1;1;65960
s01;2;120;1;0;1;65976
s01;2;120;1;2;1;65993
s01;2;120;1;2;0;69925
s01;2;120;1;2;1;72791
s01;2;120;1;1;0;75140
s01;2;120;1;2;0;75223
s01;2;120;1;0;0;75256
s01;2;120;1;1;1;77389
s01;2;120;1;2;1;77405
s01;2;120;1;0;1;77422
s01;2;120;1;1;0;79755
s01;2;120;1;1;1;79971
s01;2;120;1;2;0;80005
s01;2;120;1;0;0;80021
s01;2;120;1;2;1;82520
s01;2;120;1;0;1;82537
s01;2;120;1;0;0;86386
s01;2;120;1;0;1;88734
s01;2;120;1;1;0;91084
s01;2;120;1;1;1;92733
s01;2;120;1;2;0;96415
s01;2;120;1;0;0;96682
s01;2;120;1;1;0;96781
s01;2;120;1;2;1;98664
s01;2;120;1;1;1;98681
s01;2;120;1;0;1;98697
s01;2;120;1;1;0;100729
s01;2;120;1;1;1;100797
s01;2;120;1;0;0;100830
s01;2;120;1;2;0;100880
s01;2;120;1;0;1;103495
s01;2;120;1;2;1;103529
s01;2;120;1;2;0;106277
s01;2;120;1;0;0;106312
s01;2;120;1;2;1;107394
s01;2;120;1;0;1;107444
s01;2;120;1;0;0;110576
s01;2;120;1;0;1;112709
s01;2;120;1;2;0;115474
s01;2;120;1;0;0;115541
s01;2;120;1;1;0;115641
s01;2;120;1;2;1;117823
s01;2;120;1;1;1;117840
s01;2;120;1;0;1;117856
s02;1;20;0;1;0;2592
s02;1;20;0;2;0;2618
s02;1;20;0;0;0;2632
