ID;Block;ConditionLabel;Time;Target;Event;Key;EventLabel
s11;5;1 mask;69.12;0;0;J;Pressed
s11;5;1 mask;69.93;0;1;J;Released
s11;5;1 mask;69.96;1;1;K;Released
s11;5;1 mask;71.43;1;0;K;Pressed
s11;5;1 mask;71.48;0;0;J;Pressed
s11;5;1 mask;71.85;0;1;J;Released
s11;5;1 mask;71.95;1;1;K;Released
s11;5;1 mask;73.12;1;0;K;Pressed
s11;5;1 mask;73.93;0;0;J;Pressed
s11;5;1 mask;74.4;1;1;K;Released
s11;5;1 mask;74.45;0;1;J;Released
s11;5;1 mask;75.48;0;0;J;Pressed
s11;5;1 mask;75.57;1;0;K;Pressed
s11;5;1 mask;76.23;0;1;J;Released
s11;5;1 mask;76.25;1;1;K;Released
s11;5;1 mask;77.62;1;0;K;Pressed
s11;5;1 mask;78.03;1;1;K;Released
s11;5;1 mask;80.81;1;0;K;Pressed
s11;5;1 mask;82.85;1;1;K;Released
s11;5;1 mask;84.25;1;0;K;Pressed
s11;5;1 mask;84.48;0;0;J;Pressed
s11;5;1 mask;85.12;1;1;K;Released
s11;5;1 mask;85.32;0;1;J;Released
s11;5;1 mask;86.46;0;0;J;Pressed
s11;5;1 mask;86.46;1;0;K;Pressed
s11;5;1 mask;87.23;0;1;J;Released
s11;5;1 mask;87.26;1;1;K;Released
s11;5;1 mask;88.25;1;0;K;Pressed
s11;5;1 mask;88.28;0;0;J;Pressed
s11;5;1 mask;89.43;0;1;J;Released
s11;5;1 mask;89.5;1;1;K;Released
s11;5;1 mask;90.42;1;0;K;Pressed
s11;5;1 mask;90.45;0;0;J;Pressed
s11;5;1 mask;91.71;0;1;J;Released
s11;5;1 mask;91.75;1;1;K;Released
s11;5;1 mask;93.68;1;0;K;Pressed
s11;5;1 mask;94.28;0;0;J;Pressed
s11;5;1 mask;95.01;0;1;J;Released
s11;5;1 mask;95.12;1;1;K;Released
s11;5;1 mask;96.68;0;0;J;Pressed
s11;5;1 mask;96.68;1;0;K;Pressed
s11;5;1 mask;97.53;0;1;J;Released
s11;5;1 mask;97.56;1;1;K;Released
s11;5;1 mask;99.54;1;0;K;Pressed
s11;5;1 mask;99.57;0;0;J;Pressed
s11;5;1 mask;99.9;0;1;J;Released
s11;5;1 mask;99.96;1;1;K;Released
s11;5;1 mask;101.37;1;0;K;Pressed
s11;5;1 mask;101.39;0;0;J;Pressed
s11;5;1 mask;101.9;0;1;J;Released
s11;5;1 mask;101.95;1;1;K;Released
s11;5;1 mask;103.51;0;0;J;Pressed
s11;5;1 mask;103.51;1;0;K;Pressed
s11;5;1 mask;104.65;0;1;J;Released
s11;5;1 mask;104.68;1;1;K;Released
s11;5;1 mask;107.1;1;0;K;Pressed
s11;5;1 mask;107.12;0;0;J;Pressed
s11;5;1 mask;107.87;0;1;J;Released
s11;5;1 mask;107.89;1;1;K;Released
s11;5;1 mask;110.6;1;0;K;Pressed
s11;5;1 mask;110.67;0;0;J;Pressed
s11;5;1 mask;110.92;0;1;J;Released
s11;5;1 mask;110.98;1;1;K;Released
s11;5;1 mask;112.85;1;0;K;Pressed
s11;5;1 mask;114.1;1;1;K;Released
s11;5;1 mask;115.82;0;0;J;Pressed
s11;5;1 mask;115.82;1;0;K;Pressed
s11;5;1 mask;116.09;0;1;J;Released
s11;5;1 mask;116.14;1;1;K;Released
s11;5;1 mask;116.82;0;0;J;Pressed
s11;5;1 mask;117.4;0;1;J;Released
s11;5;1 mask;119.84;1;0;K;Pressed
s11;5;1 mask;119.87;0;0;J;Pressed
s11;5;1 mask;120.78;0;1;J;Released
s11;5;1 mask;120.79;1;1;K;Released
s11;5;1 mask;123.51;-1;200;E;Block end
