ID;Block;Duration;Aligned;MasksN;Target;Event;Time
s02;5;120;0;1;0;1;18943
s02;5;120;0;1;0;0;20492
s02;5;120;0;1;0;1;20675
s02;5;120;0;1;1;0;21758
s02;5;120;0;1;1;1;22109
s02;5;120;0;1;1;0;23192
s02;5;120;0;1;0;0;24158
s02;5;120;0;1;1;1;24207
s02;5;120;0;1;1;0;24691
s02;5;120;0;1;2;0;24824
s02;5;120;0;1;1;1;25074
s02;5;120;0;1;2;1;25090
s02;5;120;0;1;0;1;25107
s02;5;120;0;1;0;0;26540
s02;5;120;0;1;0;1;26690
s02;5;120;0;1;0;0;27856
s02;5;120;0;1;0;1;28006
s02;5;120;0;1;1;0;31121
s02;5;120;0;1;1;1;31338
s02;5;120;0;1;2;0;32804
s02;5;120;0;1;2;1;32938
s02;5;120;0;1;0;0;33420
s02;5;120;0;1;0;1;33604
s02;5;120;0;1;2;0;34337
s02;5;120;0;1;0;0;34354
s02;5;120;0;1;2;1;34520
s02;5;120;0;1;0;1;34536
s02;5;120;0;1;1;0;35670
s02;5;120;0;1;1;1;35786
s02;5;120;0;1;0;0;37252
s02;5;120;0;1;0;1;37669
s02;5;120;0;1;1;0;40201
s02;5;120;0;1;1;1;40418
s02;5;120;0;1;0;0;42151
s02;5;120;0;1;1;0;42184
s02;5;120;0;1;0;1;42434
s02;5;120;0;1;1;1;42450
s02;5;120;0;1;0;0;43717
s02;5;120;0;1;0;1;44216
s02;5;120;0;1;1;0;46049
s02;5;120;0;1;0;0;46099
s02;5;120;0;1;2;0;46116
s02;5;120;0;1;1;1;46366
s02;5;120;0;1;2;1;46382
s02;5;120;0;1;0;1;46415
s02;5;120;0;1;0;0;50764
s02;5;120;0;1;0;1;50898
s02;5;120;0;1;1;0;54063
s02;5;120;0;1;0;0;54179
s02;5;120;0;1;0;1;54213
s02;5;120;0;1;1;1;54396
s02;5;120;0;1;1;0;58661
s02;5;120;0;1;1;1;58895
s02;5;120;0;1;0;0;61694
s02;5;120;0;1;0;1;61860
s02;5;120;0;1;2;0;63292
s02;5;120;0;1;0;0;63309
s02;5;120;0;1;1;0;63325
s02;5;120;0;1;1;1;63426
s02;5;120;0;1;2;1;63443
s02;5;120;0;1;0;1;63459
s02;5;120;0;1;1;0;65042
s02;5;120;0;1;1;1;65258
s02;5;120;0;1;0;0;66125
s02;5;120;0;1;1;0;66158
s02;5;120;0;1;1;1;66325
s02;5;120;0;1;0;1;66374
s02;5;120;0;1;1;0;69540
s02;5;120;0;1;1;1;70007
s02;5;120;0;1;1;0;71073
s02;5;120;0;1;1;1;71140
s02;5;120;0;1;1;0;71339
s02;5;120;0;1;1;1;71440
s02;5;120;0;1;1;0;75488
s02;5;120;0;1;0;0;75522
s02;5;120;0;1;0;1;75721
s02;5;120;0;1;1;1;75738
s02;5;120;0;1;1;0;77870
s02;5;120;0;1;1;1;78021
s02;5;120;0;1;0;0;83185
s02;5;120;0;1;0;1;83269
s02;5;120;0;1;0;0;87933
s02;5;120;0;1;0;1;88050
s02;5;120;0;1;1;0;90299
s02;5;120;0;1;0;0;90483
s02;5;120;0;1;1;1;90632
s02;5;120;0;1;0;1;90649
s02;5;120;0;1;0;0;92664
s02;5;120;0;1;1;0;92699
s02;5;120;0;1;2;0;92715
s02;5;120;0;1;2;1;92765
s02;5;120;0;1;1;1;92782
s02;5;120;0;1;0;1;92815
s02;5;120;0;1;1;0;96147
s02;5;120;0;1;0;0;96163
s02;5;120;0;1;1;1;96364
s02;5;120;0;1;0;1;96380
s02;5;120;0;1;1;0;99545
s02;5;120;0;1;1;1;99696
s02;5;120;0;1;2;0;102094
s02;5;120;0;1;2;1;102228
s02;5;120;0;1;0;0;104293
s02;5;120;0;1;1;0;104310
s02;5;120;0;1;1;1;104460
s02;5;120;0;1;0;1;104510
s02;5;120;0;1;0;0;107009
